idMeme,nombreImagen,URL,Cuenta,Shares,MeGusta,MeEncanta,MeDivierte,MeAsombra,MeEntristece,MeEnoja,PRI,PAN,MORENA,INDEPENDIENTE,POSITIVO,NEGATIVO,NEUTRAL,textoDentroImagen,textoPublicacion,localización cuenta,Comentario1,URLComentador1,LocalizacionComentario1,Comentario2,URLComentador2,LocalizacionComentario2,Comentario3,URLComentador3,LocalizacionComentario3,Comentario4,URLComentador4,LocalizacionComentario4,Comentario5,URLComentador5,LocalizacionComentario5,NombreEquipoDelfin,Observaciones
1,meme2.jpg,https://www.facebook.com/1890457001005013/photos/a.1890459671004746.1073741827.1890457001005013/1922642427786470/?type=3&theater,Facebook Bronco Investigacion,7764,155,62,1110,0,0,0,1,0,1,1,1,0,0,Ya besense,n/a,n/a,Es viernes y el bronco lo sabe!,https://www.facebook.com/saul.nugra?fref=ufi&rc=p,centro mexico,"
Pero no por que te ignora",https://www.facebook.com/aldama.lopez.7?fref=ufi&rc=p,Ciudad de México,pinche bronco,https://www.facebook.com/daniegarzam?fref=ufi&rc=p,n/a,JAJJAJAJAJA ,https://www.facebook.com/baltazar.ortizaguilar?fref=ufi&rc=p,saltillo,n/a,n/a,n/a,Culichi Tec,El meme tenia muchas reacciones 
2,C_Meme3.JPG,https://www.facebook.com/CampechaneandoYoutube/photos/a.2039792432916002.1073741829.1933370186891561/2143983549163556/?type=3&theater,Campechaneando Youtuber,12388,2600,146,4900,18,8,1,1,0,0,0,0,1,0,Cuando te peleaste con todo mundo en redes sociales por defender a un candidato. Y PIERDE...,Pasó mucho,n/a,"Igual los milenials que defendían al cAnaya :v sus argumentos bien estúpidos como ""Osea si lavó dinero, pero es el más preparado aunque nunca ha gobernado""",https://www.facebook.com/andres.cruzsantibanez?fref=ufi&rc=p,Tlalnepantla de Baez,Creo que ANAYA le van a poner zapatillas en su partido ogt traidor... Jajajaja y así varios querían de presidente... Sin duda AMLO siempre a sido la mejor opción.. Solo q no lo dejaban..,https://www.facebook.com/oscar.rubio.df?fref=ufi&rc=p,Ciudad de México,A mi solo algunos me bloquearon por tirarle al PRIAN y en el trabajo jajaja la polaca estuvo buena.. Muchos los defendían sin tener bases de ese par de parásitos..,https://www.facebook.com/oscar.rubio.df?fref=ufi&rc=p,Ciudad de México,Acá en Carmen hay fraude y gober de Campeche metió la mano y hazta ahorita el pan el pri y morena dicen que ganaron presumo que tenemos tres presidentes municipales jajajaja saludos,https://www.facebook.com/alex.verdayes.5?fref=ufi&rc=p,"Ciudad del Carmen, Campeche, México",El mío ganó.,https://www.facebook.com/profile.php?id=100006127110824&fref=ufi&rc=p,Port Hueneme,Apatzingán,La página tiene muchos seguidores
3,meme4.jpg,https://www.facebook.com/2089766914637085/photos/rpp.2089766914637085/2123165327963910/?type=3&theater,Riki Rikin Canayin,93,25,2,87,0,0,0,0,1,1,0,0,1,0,"AMLO ya empezó a cumplir lo que prometió, me encontré a Fox en el camión, ya se ve bien madreado.",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,n/a
4,meme5.jpg,https://www.facebook.com/2089766914637085/photos/rpp.2089766914637085/2123525591261217/?type=3&theater,Riki Rikin Canayin,53,43,1,67,0,0,1,1,1,1,0,0,1,0,Muy bonitas sus felicitaciones y todo pero ya no tendrán pensión,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,n/a
5,meme6.jpg,https://www.facebook.com/2089766914637085/photos/rpp.2089766914637085/2122290844718025/?type=3&theater,Riki Rikin Canayin,110,31,5,72,0,0,0,1,0,1,0,0,1,0,#�NOMBRE?,n/a,n/a,jajajaa,https://www.facebook.com/profile.php?id=100004713099829&fref=ufi&rc=p,Tijuana,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,n/a
6,meme7.jpg,https://www.facebook.com/1890457001005013/photos/a.1890459671004746.1073741827.1890457001005013/1930232207027492/?type=3&theater,Facebook Bronco Investigacion,91,37,16,156,3,1,0,0,0,1,0,1,0,0,Por cada fracaso en el amor el gobierno te dara 5000 pesos,Me podre comprar el avion,n/a,Seremos ricos,https://www.facebook.com/fernandela22?fref=ufi&rc=p,puebla de zaragoza,"Ya la armamos ve apartando un yate, nos vamos a Dubai.",https://www.facebook.com/profile.php?id=100004447669073&fref=ufi&rc=p,Tula de ayende,nuestro momento ha llegado jaja,https://www.facebook.com/esmeralda.escobarcortes.5?fref=ufi&rc=p,tlaxcala, Puta que ofertón jaja,https://www.facebook.com/josealfonso.rodriguezsalas?fref=ufi&rc=p,Loma bonita,,n/a,n/a,Culichi Tec,La gente reacciona muy alegre
7,meme8.jpg,https://www.facebook.com/2089766914637085/photos/rpp.2089766914637085/2127720217508421/?type=3&theater,Riki Rikin Canayin,34,24,0,41,1,0,0,0,0,1,0,1,0,0,-¿Como te llamas cuate?-Andres Manuel y un día seré presidente,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,n/a
8,meme9.jpg,https://www.facebook.com/LordAMLO/photos/a.1698997307066301.1073741829.1674089892890376/1805629093069788/?type=3&theater,AMLO y sus memes,82,27,0,47,0,1,4,1,0,0,0,0,1,0,#�NOMBRE?,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,La pagina apoya a AMLO
9,meme10.jpg,https://www.facebook.com/LordAMLO/photos/a.1698997307066301.1073741829.1674089892890376/1796528667313164/?type=3&theater,AMLO y sus memes,74,40,25,100,0,0,0,0,0,1,0,1,0,0,"¡Oiga usted!Ya se tardo mucho en la casilla, los demas quieren votar, que tanto hace ahí?-......",n/a,n/a,JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA,https://www.facebook.com/friidaai?fref=ufi&rc=p,"Ahome, Sinaloa",JAJAJA ahuevo puro amlo(8,https://www.facebook.com/profile.php?id=100015398357540&fref=ufi&rc=p,Durango,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,La pagina apoya a AMLO
10,meme11.jpg,https://www.facebook.com/memespoliticosaguas/photos/rpp.468481503352841/839959026205085/?type=3&theater,MEMES politicos,10,17,1,16,0,0,1,1,0,0,0,0,0,1,Ya se le acabo su pendejo ,n/a,n/a,Gracias a dios,https://www.facebook.com/erika.luevanogalaviz?fref=ufi&rc=p,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Culichi Tec,
