Shares,MeGusta,MeEncanta,MeDivierte,MeAsombra,MeEntristece,MeEnoja
40,62,4,0,0,0,0
7764,155,62,1110,0,0,0
1238,2600,146,4900,18,8,1
93,25,2,87,0,0,0
53,43,1,67,0,0,1
110,31,5,72,0,0,0
91,37,16,156,3,1,0
34,24,0,41,1,0,0
82,27,0,47,0,1,4
74,40,25,100,0,0,0
10,17,1,16,0,0,1
8722,157,55,491,0,0,2
24,35,2,77,0,0,0
7,4,1,3,0,0,0
104,0,0,16,2,1,0
2237,1000,51,1003,6,4,5
501,356,12,591,2,1,2
18053,567,281,3000,3,1,3
91,119,7,331,1,0,1
10000,1008,161,8005,16,39,0
3,2,0,20,0,0,0
7,4,1,16,0,0,0
7,2,0,3,0,0,0
17,41,10,5,10,0,0
76,36,3,67,0,0,1
36,62,1,5,0,0,0
1355,91,11,49,0,0,0
151,96,10,342,1,0,0
344,229,1,0,6,161,0
74,40,25,100,0,0,0
2498,1000,10,738,8,0,54
52,15,0,34,1,2,0
9,10,0,12,0,0,0
30,16,2,40,0,0,1
43,15,2,22,0,0,0
19,13,3,38,0,0,0
11,4,1,2,0,0,0
16,75,0,2,0,0,1
41,19,0,13,0,0,0
5,6,0,13,0,8,0
5,1,3,9,0,0,0
47,49,3,68,0,0,0
57,8,1,10,0,0,0
202,64,3,3,3,1,16
48,25,0,35,0,0,0
10,15,0,10,0,0,0
6,8,0,2,1,0,0
11,11,10,0,0,1,0
98,75,5,129,0,0,0
240,34,0,21,0,0,0
10,4,2,3,0,0,0
21,25,5,22,0,0,0
1527,81,57,292,1,0,0
29,9,2,33,0,0,0
92,61,0,250,0,1,1
28,6,0,5,0,1,0
192,579,131,513,2,3,11
29,65,4,96,0,0,0
1,3,13,0,0,0,0
33,10,13,0,0,0,0
936,415,20,1600,5,172,0
120,157,20,350,2,0,0
8,6,0,5,0,0,3
24,8,1,7,0,0,0
104,35,0,16,2,1,0
147,37,5,14,0,1,0
49,78,7,78,0,1,1
94,38,3,39,0,0,0
1,2,0,2,0,0,0
345,172,31,335,0,2,1
32,31,10,11,1,0,0
25,5,0,3,0,0,0
2482,180,130,310,11,74,12
182,22,5,20,1,0,0
18,11,0,6,0,3,1
0,2,0,7,0,1,0
1312,74,23,2,4,0,0
21209,926,26,119,8,33,181
21,26,0,58,0,0,0
949,1000,36,1400,3,3,4
181,109,8,158,2,0,2
77,80,0,60,2,0,1
57,9,0,2,0,0,0
7,2,0,3,0,0,0
127,7,0,17,0,0,1
1527,81,57,292,1,0,0
6433,2700,103,10000,13,0,13
33294,759,575,4200,38,4,7
19,4,0,0,0,0,0
23297,411,69,516,3,1,0
44655,1100,60,5600,17,323,4
2,0,0,3,0,0,0
26975,674,99,1200,3,0,3
15931,1400,95,5300,10,400,2
141,95,6,355,2,3,0
24769,557,86,6600,9,26,4
1066,342,14,446,3,0,8
15,50,30,33,0,0,0
28693,551,29,3800,22,166,64
52,3,0,12,0,0,0
41,2,1,6,0,0,0
7,1,0,2,0,0,0
21,7,0,30,0,0,0
76,72,0,17,2,0,13
10,13,1,18,0,0,0
5,3,0,1,0,0,0
106,17,2,12,1,0,0
383,242,22,1000,2,3,0
96,145,6,496,3,2,12
852,637,41,1400,0,5,2
604,571,9,72,12,72,2
38,114,3,171,14,2,2
913,551,11,1100,4,392,2
3755,87,19,305,1,0,0
14,11,0,9,0,0,0
6,8,1,25,0,0,0
64,14,1,33,0,0,1
18,11,0,12,0,0,0
240,34,0,21,0,0,0
171,92,4,182,0,0,0
2,2,0,0,0,0,0
133,351,7,33,13,0,1
6,4,0,1,0,0,0
18,8,0,8,0,0,0
14,14,0,18,1,0,0
162,154,15,703,0,1,0
344,173,31,335,0,2,1
439,202,11,975,2,39,0
887,12000,109,17,2,0,0
511,1000,64,360,6,4,1
13186,2600,146,5000,18,18,1
332,327,75,774,1,0,0
1890,1003,88,2989,47,1,0
5371,1490,96,5890,19,5,1
2789,1527,250,5312,37,24,10
11900,3193,670,12000,140,164,105
0,0,0,0,0,0,0
147,37,5,14,0,1,0
57,8,1,10,0,0,0
66,9,0,3,1,0,0
77,10,1,7,0,1,0
2,1,1,2,0,0,0
12,4,0,33,0,0,0
10,7,0,17,0,0,0
550,297,20,161,1,0,3
412,305,24,77,0,0,1
66,38,2,51,0,0,5
70,23,6,14,0,2,0
19,10,0,6,0,0,0
5558,425,41,999,6,4,6
315,125,1,37,1,1,18
5826,1500,385,9500,57,33,73
939,814,138,709,7,0,5
104,36,0,16,2,1,0
345,173,31,336,0,2,1
66,59,3,42,2,2,3
633,238,6,316,1,15,3
73,52,2,29,2,2,2
36,17,4,29,0,0,1
20,15,0,37,0,0,0
241,222,39,8,1,0,0
94,51,1,8,15,5,29
340,127,6,4,2,0,1
54,13,5,2,0,0,0
546,297,20,161,1,0,3
178,162,7,92,1,0,0
135,271,44,0,1,30,0
147,37,5,14,0,1,0
1312,74,23,2,4,0,0
36,48,6,8,2,0,1
2127,62,969,46,52,30,9
18,54,1,35,59,55,8
7783,43,772,20,16,7,0
4942,4,321,15,20,3,3
6295,35,535,20,32,2,0
558,4,598,20,24,6,4
5703,24,565,15,22,4,8
8,6,0,5,0,0,3
147,37,5,14,0,1,0
94,38,3,39,0,0,0
